# realdump/bin_5  RELASZ=0x56700  entries=14752
# idx | r_offset            r_info       type  sym | addend                 decode
   62 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   63 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   64 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   65 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   66 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   67 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   68 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   69 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   70 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   71 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   72 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   73 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   74 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   75 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   76 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   77 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   78 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   79 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   80 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   81 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   82 | 0x00000000010057c8  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
   83 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc3000000d8c38148  add rbx,0xd8;ret
   84 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
   85 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   86 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
   87 | 0x0000000001005840  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
   88 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000c348c38348  add rbx,0x48;ret
   89 | 0x00000000008040e0  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
   90 | 0x0000000001005888  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
   91 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000000000000c  
   92 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
   93 | 0x00000000008040de  0x0000000f00000005  COPY      15 | 0x0000000000000000  
   94 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x0000000000000000  
   95 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
   96 | 0x00000000008040c8  0x0000000800000001  R_64       8 | 0xffffffffffffffff  
   97 | 0x0000000001005930  0x0000000700000001  R_64       7 | 0x0000000000000000   sym7.val=0x804180
   98 | 0x0000000000000000  0x0000000a00000005  COPY      10 | 0x0000000000000000   sym10.val=0x8040c8
   99 | 0x0000000001005960  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  100 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc300000210eb8148  sub rbx,0x210;ret
  101 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  102 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  103 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
